,label,full_m_text
2776,misinformation,"Rihanna's image holding a flag with Cricket West Indies crest was morphed with the Pakistani flag. Since her tweet supporting farmers' protest, attempts have been made to show the singer has 'Pakistani' links. #AltNewsFactCheck | @Pooja_Chaudhuri  https://t.co/BvbJIaagHv"
4444,misinformation,"About 25 million Iranians have been infected with the #coronavirus and another 35 million are at risk of acquiring it, President Hassan Rohani has warned on Saturday.  https://t.co/VvDKh6nLyK"
1115,misinformation,Further comments from Paul Pogba on the recent reports he quit the French National Team.  https://t.co/9TPXdlnGfx
4021,misinformation,"رجل افريقي نشر صورته معبراً عن سعادته بركوب حافلة تقودها #إمرأة 
لاول مرة في حياته ..
وبعد عشر دقائق نفس الرجل 
نشر صورته .
            ""الحمد لله على السلامة""  https://t.co/STgyq9Svcr"
2544,misinformation,"49.472 reported reactions to the Pfizer vaccine and 21,032 reactions to the Oxford / Astrazeneca vaccine.""
 https://t.co/V3KZ3t3pnV"
2712,misinformation,Oops! Trump says Americans don’t have to pay tariffs — and then proves himself wrong 7 words later  https://t.co/JlyHg8DvS9
1665,misinformation,💥💥Whoa #Arizona what a striking contrast to ⁦@MarthaMcSally⁩ who is a Veteran and Patriot! 👇👇EXCLUSIVE: Democrat Senate Candidate Mark Kelly's Yearbook Shows Him Dressed As Hitler - National File  https://t.co/u7Ju2ZO4tm
4147,misinformation,"A morphed image was shared to portray that West Bengal CM Mamata Banerjee got up from the wheelchair and walked after her hospital release. It is viral with false claims suggesting she faked her injury. #AltNewsFactCheck | @ArchitMeta 

 https://t.co/sylD2N4t5Z"
2587,misinformation,"2 döda av Pfizers vaccin mot covid19.

 https://t.co/EQm1bLMc31"
3133,misinformation,Anti-Rohingya Propaganda Increasingly Relying On Fake Images Of Children -  https://t.co/dDCXO9G3kD
4610,misinformation,Did JNUSU president Aishe Ghosh fake injury on her hand?   https://t.co/DUDfR1hpIE https://t.co/LBNeLOvG0u
2672,misinformation,President Donald Trump continued a presidential tradition by leaving a letter for incoming President Joe Biden at the Oval Office on Wednesday.  https://t.co/atoGI2174H
3496,misinformation,"This vote put an amendment on a funding bill that would allow adoption agencies receiving federal support to refuse LGBT parents.

The bill itself has not been voted on or passed.

Tell your electeds no bill so discriminatory should pass.

 via @lgbtqnation https://t.co/iVfSi8Hess"
2531,misinformation,The arrival of the covid-19 vaccine in the country is a pointer to the Government's commitment to protect the lives and livelihoods of it's citizens. #COVIDVaccineArrives  https://t.co/qshgh3tupy
825,misinformation,This Video is from Pakistan Airlines but being circulated as Indian Airlines Video ....   https://t.co/5Ql0w52hT6
520,factual,"Lo dice un'ordinanza della presidente Jole Santelli, che rende possibile quello che, a livello statale, non sarà consentito nemmeno dal 4 maggio
 https://t.co/K6yPYiE704"
2417,misinformation,"Che cosa ha causato l'esplosione a Beirut? Un video mostra un drone che lancia un oggetto, ma circolava già in passato  https://t.co/0X9PPimIQV"
3439,misinformation,Trump needs a new talking point when he says Chicago has the strictest gun laws. 7 other states have more regulation  https://t.co/XWB8O519wM
3905,factual,"#BernieBaby Oliver Lomas died of SIDS last week, his family stated:

  https://t.co/Jvm3UGB4hc https://t.co/uaTEwgxIjY"
554,misinformation,What Is The Insurrection Act That Trump Is Threatening To Invoke?  https://t.co/lqgMl6uKfU
4043,misinformation,"An old video showing a person cast their vote on an electronic voting machine is being shared on social media with a false claim linking it to the ongoing Bihar Assembly elections. #BOOMFactCheck #FakeNews #BiharPolls #EVM

 https://t.co/HUhSPuKEfp"
1570,misinformation,Biden’s First Speech To Congress Reportedly Draws 11.6 Million Viewers On Networks   https://t.co/J5LD8bFKML https://t.co/g0rfpQM5FU
1169,misinformation,"EXCLUSIVE: Paul Pogba will NOT quit the France team, despite claims from the Middle East | @SamiMokbel81_DM   https://t.co/47x0LzdQM5 https://t.co/QdsV1lvsds"
2698,misinformation,"#GiletsJaunes A la fin c'est toujours l'#automobiliste #contribuable qui paie ""#sécuritéroutière : les #radars dégradés, un problème pour les #chiffres"" (  https://t.co/KA62kSz7m7) https://t.co/GAJmlMHWLV"
1671,misinformation,"Holy Fuck!...if this is true...
Former mobster says Bill Barr made a secret visit to jail before Epstein’s death: ‘Something’s not right there’ | Raw Story  via rawstory https://t.co/kuDdBI8w45"
4722,misinformation,"An old satirical article claiming thousands of genetically modified mosquitoes inoculated with Viagra have potentially escaped from a Wuhan lab was revived amid COVID. The story was believed to be true by many. #AltNewsFactCheck | @ArchitMeta 
 https://t.co/gQIoH602Rp"
1411,misinformation,"भारत, चीन के सैनिकों के बीच सिक्किम सेक्टर में झड़प, दोनों पक्षों के कई सैनिक घायल
#India #China #FaceOff #Soldiers #SikkimSector #भारत #चीन #झड़प #सैनिक #सिक्किमसेक्टर
 https://t.co/k5JGM3ZIpX"
637,misinformation,Ex-polícia Derek Chauvin considerado culpado pela morte de George Floyd  Em   https://t.co/wdHw6KhKc8 https://t.co/MDmhqgtnSp https://t.co/uB29hUMIp0
4020,misinformation,"رجل أفريقي نشر صورته معبرا عن سعادته بركوب حافلة تقودها ""امرأة"" لأول مرة في حياته.. 
بعد 10 دقائق ذات الرجل نشر صورته الثانية كما تشاهدون 😎  https://t.co/j1OVB43rWj"
516,misinformation,Tomando a vacina contra COVID-19  https://t.co/o9hed6mEf4
2404,misinformation,La Finlande envisage d'adopter la semaine à quatre jours et les journées de 6 heures  https://t.co/9CpOvn1UgD
11,misinformation,"Após as investigações de fraude eleitoral em andamento, Dallas Jones, o diretor democrata da estratégia política do estado do Texas para a campanha presidencial de Joe Biden, foi preso por fraude eleitoral.

 https://t.co/LsYBkNBcCc"
2241,misinformation,Rainha Elizabeth II testou positivo para o novo coronavírus  https://t.co/3iFxXLcika
3742,misinformation,"Really Pete!  Do we really need stunts like this.  You SUV drove you to very close to your office and then you rode in a show ride.  #GreenNewDeal 

Masked Pete Buttigieg Rides Bike with Gas-Guzzling Security SUV in Tow  via @BreitbartNews https://t.co/p7ERX0rf2j"
711,misinformation,Ministère israélien de la santé : Le vaccin Pfizer a tué “environ 40 fois plus de personnes âgées que la maladie elle-même n’en aurait tué”.   https://t.co/CL4SryFwPq https://t.co/BAvAwyvSUi
623,factual,"Eine Krankenschwester am Landesklinikum Zwettl starb kurz nach der Impfung mit #AstraZeneca. Die Gesundheitsagentur untersucht nun den Vorfall. Erst am Donnerstag wurde ein ähnlicher Fall aus Brixen bekannt, in dem ein Arzt nach der Zweitimpfung plötzlich verstorben war.  https://t.co/HsZiZHfZaT"
3933,misinformation,"Toda Alemania ovaciona a Merkel en su despedida tras 18 años de presidencia, allí el respeto está por encima de las rivalidades y el orgullo nacional por encima de las ideologías...  https://t.co/LCIFKHXVum"
1478,misinformation,Bill Gates reconoce que miles de personas morirán con la vacuna del covid-19. 779.477 muertos por la vacuna. Muchísimos mas que con la supuesta pandemia. #ExposeBillGates #COVID19 #coronavirus #ExposeBillGates #ExponiendoABillGates  https://t.co/ttfyDfmGJX
2191,misinformation,"Fact check - Spoke to Disha Ravi's lawyers and friends. No, her name is not Disha Ravi 'Joseph', she is not a Christian from Kerala.   https://t.co/rDa3pcp2e7"
1095,factual,"Trump supporter caravan blocks people from voting in California, leading some voters to complain to the authorities that the behaviour amounted to intimidation and violated electioneering laws  https://t.co/fy7co12QdT"
2419,misinformation,"ONU convida Lula para discursar, após fiasco de Bolsonaro  https://t.co/5u4BirbKDc"
971,misinformation,"आंध्र प्रदेश की राज्यपाल बनीं सुषमा स्वराज
 https://t.co/D1plGRRuXA"
1605,misinformation,"INVENTING TESTIMONY 

Was #Trump ‘STATING THE FACTS’ About #ChristineFord? 

Not According to Her Own Testimony

#Mississippi rally got ovation for BLATANT LIES 

#MOG
#MAGA
 
via @lawcrimenews https://t.co/G02xyZ2QZz"
2849,misinformation,"No, esta foto de una pintada con la palabra 'asesino' en la estatua de Alexander Fleming en la plaza de toros de Las Ventas (Madrid) no es actual: circula desde 2015
 @maldita_es @MalditoDato @malditobulo @Mhemeroteca @maldita_ciencia @MalditaTech https://t.co/4bUJ9CWqbu"
1384,misinformation,"⚡#فوری رو شدن دست شمارش‌گر آرایی که هزاران رای پستی در ایالت ویسکانسین را دستکاری کرد.
#ویسکانسین
 https://t.co/KixXnTgRIg"
846,misinformation,Video shows moment of US drone strike on Soleimani at Baghdad Airport last night.  https://t.co/8lS2JY4gse
4527,misinformation,"JNU Violence: ABVP, BJP office-bearers falsely claim SFI activist 'faked' injuries - Alt News  https://t.co/rvFWA2VKYE"
831,misinformation,"સુન્ની વક્ફ બોર્ડ દ્વારા અયોધ્યામાં બાબરી હોસ્પિટલ બનાવવાનો નિર્ણય કરવામાં આવ્યો છે. વાયરલ તસ્વીર વર્જિનિયામાં આવેલ UVA Health foundation છે. સુન્ની વક્ફ બોર્ડ દ્વારા પ્રેસ રિલીઝ મારફતે બાબરી હોસ્પિટલ બનવા અંગે ખુલાસો આપેલ છે.

#babrihospital

 https://t.co/Rb6fPc3EFc"
1357,misinformation,US Approves Remdesivir To Treat Emergency COVID-19 Patients   https://t.co/SVfW8PNHz0 https://t.co/W0lF26bjaa
477,misinformation,"Briatore vattene affan...😡😡
Coronavirus, focolaio club Porto Cervo: 20enne ricoverata con polmonite allo Spallanzani

 https://t.co/EKhwtbLl7u"
1556,misinformation,Us President Joe Biden kneels to beg George Floyd's son for forgiveness... this powerful✊  https://t.co/Q6bcaDi4om
1197,misinformation,"EXCLUSIVE: Paul Pogba will NOT quit the France team, despite claims from the Middle East | @SamiMokbel81_DM   https://t.co/47x0LzdQM5 https://t.co/QdsV1lvsds"
3521,misinformation,"No, Obamacare isn't in a 'death spiral'?  via @PunditFact https://t.co/JOKHtKRJGZ"
118,misinformation,"Morte Silenciosa
Por 60 votos a 37, Assembleia Nacional Francesa faz mudanças que permitem, na prática, o assassinato de bebês em qualquer estágio de gravidez. Grupo pró-vida e bispo católico protestam
Por @PauloBriguet 

 https://t.co/9UTb1wXHPS"
375,misinformation,"#OTD in 1999 #NATO started its military aggression against #Yugoslavia. During the barbaric bombings over 2️⃣0️⃣0️⃣0️⃣ peaceful civilians, incl children, lost their lives. That @NATO aggression became the first armed offence against a sovereign state in Europe since the end of #WWII.  https://t.co/RkUjMGhe9d"
242,misinformation,George Soros Arrested in Philadelphia For Election Interference – Judge Orders Media Blackout:  https://t.co/H0bCr7iSQC
4239,misinformation,Circula pelo WhatsApp que o governo da Irlanda colocou um aviso eletrônico em um pedágio afirmando que a vacina contra o novo coronavírus causa paralisia e que a população não deveria usar máscaras. Confira:  #irlanda #vacina #mascaras #covid19  https://t.co/OOJLWSbJnA. https://t.co/O78hl7OSim
1282,misinformation,the anti sex beds at the olympics  https://t.co/jjM1XBdyrH
1289,misinformation,the anti sex beds at the olympics  https://t.co/jjM1XBdyrH
1870,misinformation,"Whoa:



@IvanBot007 https://t.co/uK8PuLilDK"
3045,misinformation,Uso de mascarillas en lugares públicos será obligatorio en la comuna de Coquimbo   https://t.co/5b6KeBII9q https://t.co/UBZ2E7Dwk5
503,misinformation,"“Biden is a consummate politician and may well put on a very good show on Tuesday. Unfortunately for him, we’ve got the fine print on record, and it doesn’t match his snake oil sales pitch.”—@GovBrewer
 https://t.co/nmCON7dqtT"
3335,misinformation,"Ale Wy się nie martwcie: w Polsce od nowego roku Coca Cola będzie opodatkowana podatkiem cukrowym - tak dzielnie nasz rząd walczy z koronawirusem ;)
 https://t.co/273cwYSSZN"
3168,misinformation,"So Kangana Ranaut said that she was 'forced' to vote for the Shiv Sena during polls. But there was no Shiv Sena candidate from her constituency (Assembly and Parliamentary) in 2019 elections.

 https://t.co/svJKJSmTMi"
1072,misinformation,Texas reported zero deaths from COVID this past weekend for the first time in almost 14 months  https://t.co/bMWm8wbfBb
2805,misinformation,"Rey de Bahrein llegó a #Dubai con un guardaespaldas robótico’ 
#Robot
😱😱  https://t.co/KYYfmQXz0o"
3938,misinformation,"Hidroxicloroquina não é garantia de cura do coronavírus, diferentemente do que circula nas redes  https://t.co/3wQ52csNvP"
910,misinformation,"सोशल मीडिया प्लेटफॉर्म्स पर दावा किया जा रहा है कि पंजाब में ‘बीजेपी के सभी तीनों विधायक’ कांग्रेस में शामिल हो गए हैं और इस तरह पंजाब देश का पहला ‘बीजेपी-मुक्त राज्य’ बन गया है.
#AFWAFactCheck #FactCheck 
 https://t.co/1Lc4aPMdiK"
163,misinformation,"#COVID-19 means Certificate Of Vaccination IDentity with 19, 1 = a and 9 = i for AI = Artificial Intelligence. it is not the name of the virus but that of the International Plan for the Control and Reduction of Populations, which has been developed for…  https://t.co/AltnMquH2O"
1255,misinformation,The defining image of farmers' protest in India  https://t.co/3kVKZyRLed
731,misinformation,Japanse Rode Kruis weigert bloeddonaties van mensen die zijn geïnjecteerd met COVID-19 ‘vaccins’  via @Frontnieuws https://t.co/kNXeGK5FJj
4317,misinformation,"Farmers protest world's largest protest in history
#TractorMarchDelhi  https://t.co/nwIw7oaAGy"
3543,misinformation,"Elijah Cummings Has His House Broken Into, Democrat Super Sleuths Are On the Case  https://t.co/yvvExBX4NR"
2535,misinformation,El Pentágono creó un microchip que detecta la covid-19 antes de que aparezcan síntomas  https://t.co/Z6oKGSXP2b
3564,misinformation,"Biden Administration: Yes, We Are Following Through With a Fracking Ban
 https://t.co/lGCYgKCKVl"
3149,misinformation,Aaj Tak ran broadcasts suggesting that the Congress will seek votes on the basis of ‘Jinnah’s genie’ while issues of development and corruption will take a backseat    https://t.co/FxBdv7AEba
3834,factual,"✅ Yes, Florida Gov. Ron DeSantis signed legislation requiring state universities to survey the political views of students, faculty, and staff.   https://t.co/mfSeWL7Ht9 https://t.co/cjhF95EZVw"
575,misinformation,"🔻Vaccino Pfizer, 4 casi di paralisi di Bell tra i volontari ""ma nessun allarmismo""

 https://t.co/Lst2sEueTP"
4626,misinformation,"Several Congress handles and members of the party shared an image of former Prime Minister Indira Gandhi addressing a crowd of army men in Leh as Galwan valley. #AltNewsFactCheck | @ArchitMeta 

 https://t.co/mWPfwXUtRV"
2214,misinformation,"ALERTA! 

Ganhador do Nobel de Medicina Luc Montagnier Afirma: Vacinas Contra Covid Estão Criando Uma Nova Variante

 https://t.co/YtVW47klwC"
1085,factual,"Blocking polling place over 4000 person maga caravan blocks people from voting in California and no arrests
 https://t.co/Lte1xAFRb2"
598,misinformation,President Trump Gives Permission for US Troops to Stay at Trump Hotel in Washington DC  via @gatewaypundit #PresidentTrump the only true leader in our country today 👍 https://t.co/9xMd4VPHOp
4098,misinformation,"A fake tweet portraying the BJP announcing an alliance with AIMIM for West Bengal elections was shared on social media. #AltNewsFactCheck | @stoic_annu 

 https://t.co/GYyLDiI9El"
3702,misinformation,"صاحب المقهى يضع لافتة .. « ممنوع دخول الكلاب والمسلمين وأصحاب البشرة السوداء » 

فدخل الملاكم الأمريكي المسلم مايك تايسون مع بطل العالم المسلم في الملاكمة السويدي بادو جاك والإمام اللي يصلي فيهم هو بطل العالم في الكيك بوكسينج الأردني عامر عبدالله . وإبن أمه اللي يقدر يقولهم شي 🤣  https://t.co/YKCMY6xFnT"
4153,misinformation,"A morphed image was shared to portray that West Bengal CM Mamata Banerjee got up from the wheelchair and walked after her hospital release. It is viral with false claims suggesting she faked her injury. #AltNewsFactCheck | @ArchitMeta 

 https://t.co/jcRn8QSEG4"
4385,misinformation,"Sidney is right.

“Sidney Powell: ‘President Trump Won by a Landslide, We Are Going to Prove It’”  https://t.co/IGka9jBaHm"
989,misinformation,"""My wife was pregnant when the Patidar agitation happened; I had faced problems then. I decided then, I'll hit this man,"" says Tarun Gajjar, the man who slapped #HardikPatel at his rally in Gujarat.
 https://t.co/WI3EVGj3Xe"
2752,misinformation,Le rover Perseverance a envoyé de nouvelles images exceptionnelles (photos)   https://t.co/GfAjftiCfp https://t.co/2bnKq7QCIR
2903,misinformation,"Паралич Белла возник у четырех добровольцев после прививки вакциной Pfizer

Официальные лица предупредили, что врачи должны следить за тревожной ситуацией   https://t.co/8dGmWAROv7 https://t.co/ZHr1i8dSdt"
3952,misinformation,"Fact Check: Did Biden Revoke a Trump Ban on Chinese Communist Propaganda in Schools?

Fact: Trump's policy did not ban the schools nor the propaganda to begin with. 

 https://t.co/raFKOPkOa9"
1292,misinformation,"टोक्यो ओलंपिक गेम्स के आयोजकों ने खेल गाँव में खिलाड़ियों के लिए 'एंटी-सेक्स बेड' बनाए हैं। कार्डबोर्ड से बनाए गए इन बेड्स की खासियत है कि ये...

 https://t.co/ZF0gwUNh2u"
1850,misinformation,"BOMBSHELL: Biden administration blocked Texas from increasing power as Texas begged for help a week before catastrophic polar vortex. 

Texas asked to temporarily lift regulations on energy output to avoid disaster. Biden's DOE refused to help due to ""green energy standards"".  https://t.co/jJVfRDSkPf"
2816,misinformation,"Los colectivos #LGTBi piden que ser homosexual garantice el acceso a la “renta mínima universal” ➡ Exigen al Gobierno que elimine las trabas burocráticas y el ""sesgo familiocéntrico” e incluya las casillas ""homosexualidad y transexualidad"" en requisitos.  https://t.co/oKrt2S7BEF"
3974,misinformation,A pic inside Saturn's rings taken by the Cassini Spacecraft 2 weeks ago..  https://t.co/7ZnRxSYuku
2088,misinformation,"#كتائب_عز_الدين_القسام
شاهد.. كتائب القسام تستهدف حافلة لنقل الجنود قرب قاعدة ""زيكيم"" شمال قطاع غزة بصاروخ موجه  https://t.co/OTUThWdTkg"
4391,misinformation,"There is a link between AstraZeneca’s COVID-19 vaccine and very rare blood clots in the brain but the possible causes are still unknown, a senior official for the European Medicines Agency (EMA) said.

 https://t.co/XQyAuWmLjB"
1696,misinformation,"Trump implies Putin used the ""N-word"" when talking about Obama   https://t.co/ZYBmjNJsIH https://t.co/sqE1QFRDdV"
740,misinformation,🚩La Cruz Roja Japonesa rechaza las donaciones de sangre de personas inyectadas con 'vacunas' COVID-19.  https://t.co/HJoGQEG6ZU
3921,misinformation,700 empresas do Japão querem investir no Brasil com expectativa ao governo Bolsonaro  https://t.co/wJMvDtUW50
4785,misinformation,"BioNTech/Pfizer aşı grubundaki 4 kişide geçici yüz felci (Bell's palsy) görüldüğü doğru; ancak, aşının yüz felcine yol açtığına dair kesin bulgu henüz yok.

Kullanılan görsellerin koronavirüs aşısıyla ilgisi bulunmuyor

FDA raporu: 

  https://t.co/epKuyz3Ku0 https://t.co/7bD2zq85A5 https://t.co/nBxj4wk5MN"
4150,misinformation,"West Bengal CM Mamata Banerjee's photo was flipped horizontally to falsely suggest that she faked her leg injury. It is being claimed that her right leg is plastered but photos from the hospital show injury in the left leg. #AltNewsFactCheck | @ArchitMeta
 https://t.co/HJMcuNO5gc"
2900,factual,"Tom Hanks must be really glad he went to Australia for his work, otherwise he would have walked around with this Coronavirus for weeks, infecting other people and getting in a severe health state, before he would have been tested in his own country.

 https://t.co/GYNGAZCzPj"
2211,misinformation,"""No tengo ninguna intención de sacrificar mi vida,tiempo,libertad y adolescencia de mis hijas,como su derecho a estudiar adecuadamente por quienes se niegan a vacunarse. NO podemos hacer que quienes tienen  el sentido cívico de vacunarse carguen con la carga d los inconvenientes""  https://t.co/rM7feyPCIo"
1424,misinformation,"Pro-democracy protesters and police officers clash during a rally against the state of emergency at Ratchaprasong shopping district in Bangkok, Thailand. 📷 epa-efe / Diego Azubel

#Thailand #Bangkok #protests #ThailandProtests #clashes #photojournalism #epaphotos  https://t.co/5GHaqTG5vi"
1654,misinformation,"“I pledge allegiance to the United States of America, one nation, indivisible, under God, for real,” Biden said.

😂😆👏👏👏👏👏👏👏

@realDonaldTrump

 https://t.co/nSjNbOlG9G"
2493,misinformation,Cidade do México diz que ivermectina reduziu internações por Covid-19 em até 76%  via @agoranoticiasbr https://t.co/1US8TgMeA8
4435,misinformation,"No Queen Elizabeth billboard in London with Modi ‘good boy’ message. Viral photo is a meme

ThePrint's @soniyaagrawal21 reports in #HoaXposed, in collaboration with @SMHoaxSlayer

 https://t.co/frY9liHI4x"
3244,misinformation,"#WebQoof | A viral image claims to show New York Times’ international edition published on Friday, 21 May, in which an image of crocodile can be seen on the front page with the text: ‘India’s PM cried.’ However, we found that it's a doctored photo.

 https://t.co/eQn3QqLMYn"
2017,factual,المنظر من السماء للكم الهائل من السفن والتي تنتظر دورها للعبور من #قناة_السويس بعد جنوح السفينة الضخمة في القناة لعدة أيام.  https://t.co/LfjYr9yNCC
4709,misinformation,¿Funcionan los remedios caseros contra el coronavirus? @drjuanjr le responde a @JossFavela  https://t.co/sinr4GASzl
3215,misinformation,This is West Bengal marching for change! Joint rally of @INCWestBengal and Left Parties today in Kolkata.   https://t.co/el47Qa61Zk
2876,misinformation,"Rahul Gandhi’s tweet has been morphed by BJP IT cell. In his original tweet, Rahul Gandhi has referred to Sushant Singh Rajput as an actor and not a cricketer.
#SushantSinghRajput
 https://t.co/q5mBn3Sum4"
1945,misinformation,أردوغان: قد نلجأ إلى شن عملية عسكرية جديدة إذا لم يتم حل الوضع سريعاً في إدلب  https://t.co/eWaRBs2SD1
3456,misinformation,This is an all-time fake campaign attack -- claiming your opponent gets most of her $ from Massachusetts bc ActBlue is headquartered in Massachusetts.  https://t.co/fY6iHZNgzd
1355,misinformation,IMPORTANTE - Ya fue aprobado el antiviral remdesivir para combatir el  #Covid19 &gt;&gt;  (+DATOS)  https://t.co/lD7cdNSgb0 https://t.co/NIIhJ1vOh0
4748,misinformation,"Will @Manekagandhibjp be sanctimonious about this.She was more upset when elephant died than migrants.Sub humans  in her mind, don't matter.Surely cows matter! @srivatsayb @sritara @KateelSagar
@RKRadhakrishn @CViraraghavan @virsanghvi @tmkrishna @nramind
 https://t.co/3QOaQV9Moy"
1528,misinformation,"#NewJersey ( @CoryBooker ) #Pennsylvania #Nevada #Georgia #Wisconsin #Arizona #Michigan 🔊 Are you happy now⁉️ Well, #BigPharma will have more  millions to donate to #DemocRATic Campaign Funds ⁉️   via @CBNNews https://t.co/wtwhjmsW3o"
233,misinformation,Arrestan a Soros por interferir en las elecciones. Bajo custodia federal en Filadelfia.  Cc: @lopezobrador_ @marvinicio @maries_trella @euzkera @FranciscoValSan @Adolfo_D_F @SanjuanaNotimex @xiomirb @MicaelaTacconi @Nhenneq @hectorsmx @EquipoTrump https://t.co/jJhQvVXeVE
2154,misinformation,"न्यूज़ एजेंसी ANI ने ख़बर दी कि दिल्ली के निज़ामुद्दीन में मुस्लिम समुदाय से जुड़े लोगों ने PM मोदी के जन्मदिन पर प्रार्थना आयोजित की और केक काटा. हालांकि ANI ने ये नहीं बताया कि ये इवेंट BJP से जुड़े लोगों ने आयोजित किया था. | @Pooja_Chaudhuri 

 https://t.co/sXwj9PoLmX"
4012,misinformation,"CC LES VAXINÉS !!! 😱
Pfizer confirme que les personnes vaccinées contre le COVID peuvent transmettre des protéines de pointe et nuire aux personnes non vaccinées  https://t.co/Z796l2n5NI"
3155,misinformation,"Kangana Ranaut's claim that she was 'forced' to vote for Shiv Sena due to BJP-Shiv alliance in 2019 Lok Sabha polls was false. When called out by a journalist, Ranaut threatened him with 'legal consequences'. #AltNewsFactCheck | @Pooja_Chaudhuri 

 https://t.co/JVU3vbGU8L"
155,misinformation,"President of Madagascar has accused WHO of a plot to poison COVID-19 Organics, the local African ‘cure’ for #Coronavirus. He claims WHO offered $20 million bribe to poison their medicine, Tanzania Perspective reported on front-page of its 14th May edition
 https://t.co/qAadLRieqm"
3982,misinformation,"France has urged Arab countries to stop calls for boycotts of French products, while President Emmanuel Macron vowed the country would never give in to “Islamic radicals.”  https://t.co/KCZK0e2fzH"
3645,factual,L’hébergement d’urgence voit son budget baisser de 57 millions d’euros — via @lemondefr  https://t.co/m6375GETep
2331,misinformation,CDC-gegevens onthullen dat de COVID-19 vaccins 180 keer dodelijker zijn dan de griepvaccins #vaccin #CDC #corona  https://t.co/2YHyOj63a1
2372,misinformation,FROM LAST NIGHT: Donald Trump wrongly says Hillary Clinton 'wants to go to a single-payer plan' for health care:  https://t.co/295Ta5EzM6
1224,misinformation,"Recently, the Centers for Disease Control and Prevention reported that more than 5,800 out of 75 million fully vaccinated people in the U.S. have been infected with COVID-19.  https://t.co/o1brGhUIjc"
4731,misinformation,"Mail in ballots pose no risk  to the election according to the Dem’s,claim! Right, as long as their criminals are screening the rubbage containers...🤙🏼🇺🇸   https://t.co/cr0lyQFN0b"
3566,misinformation,"31 de agosto de 2020: “No estoy prohibiendo el fracking.  No estoy prohibiendo el fracking, no importa cuántas veces Donald Trump mienta sobre mí ”- @JoeBiden

 20 de enero de 2021 - @PressSec: Biden prohibirá el fracking de nuevo en terrenos federales.
  https://t.co/dgBCgisa1T"
2051,misinformation,"حتى اللحظة تم اطلاق 15 صاروخ من غزة الصمود و المقاومة 
#انتفاضة_رمضان #القدس_تنتفض  https://t.co/cjXuS2JUwN"
52,misinformation,"Trump: OMS admitió que yo tenía razón, las cuarentenas están matando países -►   https://t.co/bjiqMp4R8g https://t.co/hhRDnhdwVs"
3621,misinformation,"Non, l’#Algérie n’a pas interdit aux Noirs l’accès aux bus et aux taxis   https://t.co/3y1OWbukwS https://t.co/U8v56FyRHJ"
4351,misinformation,Donald Trump Speech Has People Thinking His Pants Were On Backwards  https://t.co/QEderDQS1t
2687,misinformation,"Tiens tiens.....🤡 spotted

Non, en Inde, des villageois ne chassent pas dans cette vidéo ceux qui voulaient les vacciner de force.
🔽

🔼  https://t.co/FQfEFxJaXy https://t.co/EryXSjUJsE"
231,misinformation,📢 George SOROS es arrestado en Filadelfia por INTERFERENCIA ELECTORAL !!!!  https://t.co/La7btwF3ex
284,misinformation,Iran has launched its underground ballistic missiles for first time  https://t.co/7TonQgWCOX
544,misinformation,"Javier Bauluz è l'autore di questa foto scattata su una spiaggia a Tarifa in Spagna... In mostra il cadavere di una persona annegata, morta nel tentativo di attraversare il Mediterraneo dal Marocco. L'indifferenza dell'Occidente questo il nome dato a questa foto  https://t.co/h9i8NiAd4O"
1968,factual,Japan had more suicides in October than all of the COVID-19 deaths during the pandemic  https://t.co/bxBl6QopYs
3139,misinformation,"Subramanian Swamy shares fake email about church involvement in Lingayat issue. Please don't play your cheap politics with #LingayatReligion 
 via @AltNews @Swamy39 @BJP4Karnataka @BJP4India @narendramodi https://t.co/XviX8Xu8JE"
4045,misinformation,"بھارتی فضائیہ نے آج نیپال کے علاقوں پر فضائی حملہ کرنے کے لئے سرحد عبور کی تھی۔
 بھارت نے نیپال کی سرحد کے قریب کوٹ کھڑک سنگھ پراناون میں فضائی حملہ کیا۔
 اس کے جواب میں ، نیپال فوج نے بھارتی جیٹ اور دو ہندوستانی پائلٹوں کو ہلاک کردیا۔
@TeamPakpti 
#pakguradian  https://t.co/HGPlw5R0ny"
1803,misinformation,"Johns Hopkins Study Mysteriously Disappears after it Revealed, In Spite of COVID, No More Deaths in 2020 Than In Prior Years  via @gatewaypundit https://t.co/vAQ3nri0fh"
1853,misinformation,"After the Senate passed its version of the American Rescue Plan Act, Republican Rep. Liz Cheney claimed “the result of that package is going to be middle-class tax increases.” The legislation cuts middle-income taxes.  https://t.co/hQdseiazv0"
463,misinformation,"Influenza stagionale, grafico OMS dimostra la ""truffa"": «È una follia» Video  https://t.co/gJVhPDrMEx"
2643,misinformation,"Dos bancos chinos invierten 600 mdd en la refinería de Dos Bocas, anuncia Embajador de China  https://t.co/3xZ8yL9f0w"
890,misinformation,"A 2019 video of Nihang Sikhs attacking a bus after it injured one of their horses was falsely linked to the farmers' protest by Sudarshan News. #AltNewsFactCheck | @HereisKinjal 

 https://t.co/lKqSQ0SYwB"
3972,misinformation,Kilatan Cahaya Aneh Diduga Meteor Menyambar Gunung Merapi Ini Penjelasan BPPTKG  #Merapi https://t.co/XHtCU71R6r
